enabled,date,title,message,url,sent
TRUE,2026/09/08,國三第1次模擬考,兩日考期：115/09/08（二）、09/09（三）。南一版；國英數社第1～2冊，自然第1、3冊。,https://tyctw.github.io/clock/#/schedule,
TRUE,2026/12/23,國三第2次模擬考,兩日考期：115/12/23（三）、12/24（四）。翰林版；範圍第1～4冊。,https://tyctw.github.io/clock/#/schedule,
TRUE,2027/02/18,國三第3次模擬考,兩日考期：116/02/18（四）、02/19（五）。南一版；範圍第1～5冊。,https://tyctw.github.io/clock/#/schedule,
TRUE,2027/04/15,國三第4次模擬考,兩日考期：116/04/15（四）、04/16（五）。康軒版；範圍第1～6冊。,https://tyctw.github.io/clock/#/schedule,
